| Suite                                             | Objetivo                                                                                            | O que testa                                                                                                                                                                                                                                                              | O que falta adicionar hoje                                                                                                                                                        | Prioridade         |
| ------------------------------------------------- | --------------------------------------------------------------------------------------------------- | ------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------ | --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------- | ------------------ |
| **v12.1 Enterprise Base**                         | Validar o core funcional completo do SaaS em cenário enterprise                                     | Bootstrap, signup, login tenant, me tenant, login control plane, perfis administrativos, auth refresh/logout, RBAC principal, billing, categories, subcategories, suppliers, products, product queries, negative tests, tenant users, account queries, multi-tenant base | **Customers**, **Inventory**, sales ligadas a customer, baixa de estoque por sale, negativos de estoque, isolamento tenant para customers/inventory                               | **Alta**           |
| **v13.0 Stripe Grade**                            | Endurecer a suite enterprise com validações de qualidade de fluxo e consistência                    | Tudo da enterprise base + cenários mais rígidos de fluxo, consistência de autenticação, validações mais fortes, comportamento SaaS “production-grade”                                                                                                                    | Customers com validações fortes, inventory consistente, sale com customer inválido, sale com estoque insuficiente, duplicate rules em customers, queries e negativos mais rígidos | **Muito Alta**     |
| **v14.3 Ultra SaaS**                              | Validar o SaaS em volume e cenários mais realistas de uso                                           | Tudo da stripe-grade + massa de dados, cenários ampliados, mais cobertura enterprise, mais consultas e uso em escala                                                                                                                                                     | Massa de customers, massa de inventory, massa de sales, low stock após lote, paginação e search com volume, isolamento tenant sob carga                                           | **Muito Alta**     |
| **v16 Ultra Hardened**                            | Validar robustez máxima antes de release grande / hardening arquitetural                            | Tudo da ultra-saas + hardening, runner mais robusto, preocupação com estabilidade, relatórios, readiness para perf, stress operacional                                                                                                                                   | Stress de inventory, concorrência funcional em sales, pós-condições de integridade, prevenção de estoque negativo, validações pós-carga para customers/inventory/sales            | **Crítica**        |
| **v12.6 Customers + Sales Simples**               | Cobrir rapidamente o novo módulo de customers e o vínculo com sales sem refazer toda a malha pesada | Core anterior + customers CRUD, search de customers, sales por customer, customer snapshot em sale, isolamento tenant de customers                                                                                                                                       | Inventory completo, massa, queries de inventory, baixa de estoque, negativos de estoque, hardening e escala em customers/inventory                                                | **Alta**           |
| **Nova v17 Enterprise Customers + Inventory**     | Ser a nova base oficial funcional do projeto com os módulos novos incorporados                      | Tudo da antiga enterprise + customers CRUD/search + inventory CRUD/query + sale com customer + baixa básica de estoque + isolamento tenant completo                                                                                                                      | Stress, massa pesada, concorrência, performance/hardening                                                                                                                         | **Crítica**        |
| **Nova v17 Stripe Grade Customers + Inventory**   | Ser a base “release-ready” funcionalmente rigorosa                                                  | Tudo da v17 enterprise + negativos fortes + consistência cross-module + validações rígidas                                                                                                                                                                               | Massa pesada, cenários de escala, stress                                                                                                                                          | **Muito Alta**     |
| **Nova v17 Ultra SaaS Customers + Inventory**     | Cobrir cenários enterprise com volume e uso real                                                    | Tudo da stripe-grade + massa de customers, inventory e sales + buscas, paginação, low stock, multi-tenant sob volume                                                                                                                                                     | Hardening pesado e concorrência                                                                                                                                                   | **Muito Alta**     |
| **Nova v17 Ultra Hardened Customers + Inventory** | Ser a suite máxima antes de merge grande / release interno                                          | Tudo da ultra-saas + stress, concorrência, pós-validação de integridade, runner endurecido, relatórios                                                                                                                                                                   | Apenas refinamentos futuros                                                                                                                                                       | **Crítica Máxima** |
